Great Choice!	100
Worst experience .. Lizards are roaming	50
Small parking space	60
Overall I didn't spend much time in the hotel except for resting at night	67
Good	79
Good	75
Great stay	96
Location	60
A comfortable stay for the family	96
This hotel is not what it seems.	33
Paradise Kinks	80
Bormio is a lovely town in a great location.  The hotel doesn't let it down	79
Luxurious comfort at a great price!	100
Great location and staff	80
Taste of Asia in the medieval Europe	80
Don't Worry - You'll be well taken cared of	100
Excellent	88
Okay	58
Wonderful	92
Okay	58
Fair	50
Great Location near Cruise Ships	100
Nice and cheap hotel	79
Good	79
Very good	83
Good quality price hotel	80
Exceptional	96
Good	79
Night in monument valley	100
Overnight stay	71
Good stay	88
Very Good	83
We were tired when we arrived, the staff tried their hardest to get our room ready.	100
A wonderful undiscovered gem in Victoria.	100
A bucket list trip!	100
Nice hotel	100
Very good place	100
Fair	50
Good	88
Great atmosphere, even better service	100
Very good	88
Very Good	83
Great Hotel with Great Views and lot of facilities provided	100
Mislead by the pretty pictures- would not stay here again.	38
GREAT!!!	83
Amazing hotel and excellent service	100
Fantastic location to everything !	75
Great place on the cheap !	88
Nice hotel, close to the highway	100
Good, convenient hotel	79
Baseball Tournament Stay	80
Impressive!!	100
Amazing	80
Good location, wouldn't  stay again.	63
Better places to stay	50
Old but charming and well kept hotel with good service	80
With family	80
Good times in Bend	88
Enjoyable	100
Nice basic hotel	80
Avoid at all costs	20
Exceptional	100
LOVED our stay!	100
Great Hotel, great neighborhood, value for money.	100
Right by the marina.	100
It is what it is.	67
Staying at beach for class reunion	100
Business Trip x Palace Hotel	80
A beautiful place to stay	79
Unhappy	42
Excellent	88
Pleasant	63
Top Value	100
Good hotel for an overnight stop	79
Perfect Relaxing Holiday	100
Worthy to stay @ TAP Paradise Hotel	100
Good hotel but . . .	60
Not bad, would stay again.	60
Good	79
Exceptional	100
Worked well	100
We would stay again!	79
Good value for the money	79
Great Hotel and Excellent Location	80
Amazing experience and worth every penny	100
Exceptional	100
Bad Mistake	42
enjoyable weekend visit	92
An oasis of calm and cleanliness	80
Very Good	83
Simple, efficient accommodation close to the heart of Copenhagen	88
Excellent	88
Excellent boutique hotel close to atransport and great value	100
It was ok for the money!	71
The perfect actual boutique hotel in Hanoi	100
We're so glad we stayed!	100
Very helpful and friendly	20
Not for female travelers!!!	75
Would definitely stay again.	100
Warm, personal , casual with amazing service	100
€11 is a total bargain	100
Vancouver downtown - a place to (re)consider	67
Pleasant stay	88
A warm welcome	100
Perfect location for access to Bryce National Park	80
July 4th road trip	100
We loved Tokyo!	96
Not a good stay, will not stay there again.	29
Not bad, but a little Pricey.	80
Very helpful staff, very relaxing	88
Four rooms in one night!	38
Disappointing	42
Great location, but ...	83
Worth your every penny!	100
Almost there	60
Nice hotel with excellent staff. Shower needs modernisation.	79
Frankenmuth	80
Not great but not awful.	58
Business	100
Hyatt should be ashamed	20
It was ehh.	50
value for money	83
Dirty	40
Convenient Location!	79
an ok experience	63
Love St Augustine and the hotel is a perfect location.	79
Worst place on earth.	33
Fantastic spot for relaxation next to the ocean	100
Genuine outback experience	83
Elevator Entrapment	40
Great place to stay when you visit Aberdeen	96
The Grand	83
Great location	100
Exceptional	100
god dam the front desk service	67
Very comfortable and relaxing stay	80
Exceptional on every step	100
Good	79
Nice hotel	100
Lunch was surprisingly delicious!	80
Africa reception staff appallingly slow and make you wait for no readon	20
Lovely stay at reasonable rates	100
Good	79
Best breakfast we had in america - but loud place	80
Large property with plenty to do and see	100
Good	75
Over all it was a pretty place just need more stuff to do in walking distance.	83
Great Stay	96
Anniversary stay	40
Disappointed	33
Good	75
Drama glamour and luxury	96
Right on the beach!	100
Not as bad as I was expecting	60
Convenient, clean and reasonably priced.	100
Ho hum hotel on Stateline	54
A very nice place to stay	100
Exceptional	100
Poor	38
Great stay	88
Good location for the price	80
Most Luxurious Hotel in KL	100
When in Pamplona stay at Hotel Tres Reyes	96
Convenient, comfortable, friendly hotel right in the very heart of O'Hare Airport	100
Is it worth the price?	42
Quirky	80
Good	79
Dont eat the food	50
Unclean	40
consider only as a last option if looking closer to Disneyland	54
Family Vacation	80
Great stay	100
Great Hotel!	100
Great resort for a visit to Vegas	92
Satisfied customer	100
Fantastic little getaway!	96
Fantastic staff	79
Good	71
The best!	100
good place to stay	92
Good	79
Good location	100
Worst Hotel Ever Experience	20
Sensimar  Seaside Suites	100
Room was clean and loved the view of the room	71
Excellent fun not far from home	100
Disappointing	46
Great motel on the edge of Death Valley	92
Typical cheap motel	54
Great choice	100
Used to be great and now its rubbish	38
Good	79
Never, never again!	54
Unless you are truly desperate do not stay here.	25
Wonderful	92
Top notch	100
Nice rooms	80
very nice	88
Excellent Place to Stay but Internet Access poor	100
Superbe location	100
Mountain escape	100
Very nice hotel to stay	83
Good hotel close to attractions	80
Exceptional	100
Great place to stay in Washington DC.	100
Pleasant	63
A nice stay	100
Exceptional	100
Worst experience ever	24
Pleasant	67
Great vacation!	100
Good	79
Wonderful	92
Central location - but catastrophic	20
Worst Embassy Suites	40
Exceptional	96
Good	79
Hotel recommended for relax purpose. Feel the nature.	88
Pleasant	63
Nice place to visit	80
Vacation	100
Nasty	29
Weekend to remember	100
Excellent location	100
Nothing special	71
Exceptional	100
Pricey but really nice.	100
LINDO LUGAR	79
A bit more attention to detail would make this great accommodation.	83
Good	75
Good for the price but I’d advise to spend a bit more.	50
Not bad	80
Go for Go Hotels Iloilo	96
Wonderful experience	100
Great time in Siem Reap...I highly recommend the Mango Rains Hotel	38
Convenient and secure location	100
Great spot in quiet location	80
Solid choice in Ahmedabad	80
Excellent value for the money	80
A good hotel, with an excellent restaurant	96
Excellent Room	100
Good stay	80
Good	75
Welcoming, Friendly and Comfortable.	100
Perfect Day	100
Great location, confortable bed	71
Exceptional	100
Exceptional	100
Spa	40
Great service, amazing location, worth every penny.	96
Good	71
Great location and hotel.	100
Charming Amsterdam	92
Great location, but needs updating	88
Good	79
Nice Large/clean rooms. Great value	79
BASIC	58
Great spot.	80
Exceptional	100
nice place +  with spectacular view + and less expensive	80
Room Service Hot and Cold	38
convenient location	60
Sublime Service	100
Good location for one night stay	92
Another great week at a Club Med	80
Friendly staff & value for money	92
Good	75
Exceptional	100
Wonderful	92
Well done	100
Not the best place to stay	67
Not worth the money. Walk to the beach and take a picture instead of paying to stay here.	46
Great resort, unmotivated and unhappy  staff	60
Okay for one or two nights.	60
Great stay at Comfort Inn in Avon, CO.	83
Exceptional	100
What a fabulous hotel!!	100
Wonderful	92
Good hotel.	96
Overnighter	80
Very recommended... Great and beautiful location	100
A very clean, simple motel.	83
No WiFi but clean hotel and nice room	67
Great Hotel, Freindly Staff, Excellent Location	100
Outdated, dingy, and not clean.	38
Wonderful	92
Adult trip to Crazytown	83
Enjoyed our overnight stay.	83
Great location and service.	92
Not Value for Money	60
Very good value for money and super staff	88
Good	79
Exceptional	100
Missed a few details	80
beautiful hotel	100
Fantastic stay.	100
Great hotel and location	100
Staff very helpful.	80
Great location!	92
Good	75
Exceptional	96
Amazing 10 nights.	100
NEVER stay here again. 1 night too many	20
I will be back! So good!	80
Perfect for a quick trip. All the must-sees are nearby. Super friendly staff, great room.	96
pleasant, but only because the room was warm  we couldn't adjust temp, over all the stay was a 8	92
They had roaches	20
Charming and quirky oasis in a destrert of corporate sameness.	100
Good	75
Smart hotel	80
Doesn't make you feel special...	60
very nice	75
Exceptional	100
Airport and town centre proximity	83
Cannot fault	100
Good	71
fab stay!	100
Good	75
Fantastic Hotel !	100
Enjoyed the stay.  Facilities were very clean as was the outside area	100
Excellent stay	96
Wonderful	92
Family Visit in Jakarta	100
A fantastic remarkable view on top of the mountain.	96
reasonable value for the money, had a quiet room (in a hostel!)	79
Cool and shady respite just outside Florence	100
Great room, excellent breakfast	100
Excellent location and value for money	100
Top Notch	100
It was good.	96
Nice hotel with friendly staff in good location	80
Great stay!  Close to lots of great eating and shopping!	88
five nights in London	40
Pleasant	63
Bad reception	29
Quaint, clean and comfortable	79
Great stay at responsible price with breakfast!!	92
Quiet elegant retreat	80
Adequate room. Crap food.	60
Exceptional	96
A great place to stay	88
June getaway	80
Wonderful	92
Good	75
Excellent	100
A memorable stay.	75
Wonderful	92
A place decimal worth traveling to.	100
STAY HERE! 5 star all around	100
What a great hotel! Exceeded my expectations.	100
Pleasant	63
Excellent	88
Exceptional	100
excellent apartments. beautiful beach within miniutes. quiet resort.close to bus terminal.	96
Nice hotel near the MRT	80
Good room	80
Anniversary getaway	100
Bat out of Hell Birthday	100
Good	71
Terrific Hotel, but have to travel to the beach	100
Great location, lobby, service - room needed a little refreshing	60
Lovely hotel in centre of city	100
Nice	83
Boa	67
Close to the airport & free shuttle	80
Good	71
Wonderful experience	100
We liked it here, just fine!	96
my stay at the Delta	100
Fantastic hotel very welcoming	100
Handy to Newmarket	80
Cozy Boutique-Hotel	96
Fantastic place to stop in Hay on Wye	100
Amazing property and staff!	100
On way to Skye	83
Beyond clean	100
Better than the last time but .........	80
Great place	100
Exceptional	100
you have to stay here	100
Excellent VFM Hotel in Singapore	80
Fun place close to the beach	100
Average Rooms...Super Beach and Pools	60
Excellent	88
Excellent hotel the most beautiful in Rome.	100
Great value and excellant location	100
great stay will be back	96
This hotel was quiet and peaceful.	96
Pleasant	63
Very Good	83
Great!	100
No...Nope...Nah	60
Very Good	83
Pleasant	67
great place in a small town	96
Poor Customer Service during our Family Vacation !!!	20
Great place to visit	88
Short Stay	63
Confusing and troublesome	72
Good location ..Noisy	79
Great Stay at this Harrisburg/Hershey Hotel	100
Very Good	83
Poor	33
Comfy alternative to city centre hotels.	83
Pleasant	67
Pls.pay attention on custumers belongings by check	96
Best hotel we ever stayed	100
More to Naoshima than just Bennesse!	92
An Excellent place	96
Excellent	100
.nice and relaxing	100
close to the beach	80
The suite room had more then enough room and space	100
Awesome accommodation	96
Not oustsnding	83
Good	79
Good value for money location.	63
Fantastic location but terrible breakfast	80
wonderful stay	100
The staff really loves their jobs!	100
stay at madina Harmony Hotel on Eid	63
Paradise in Paradis Beachcomber	100
Good location, bad hotel rooms	50
Fantastic	100
Cute hotel and great location	80
Cycling through Bude	92
Nice clean modern hotel close to Airport	100
Exceptional	100
Beautiful Hotel!	80
Wonderful	92
Superb	100
Good	71
Quick Stay at the Rendezvous	80
Great Location, Good Hotel	96
Very Good	83
train trip	100
Comfortable stay but breakfast need to improve	83
Pleasant	67
Great location for the Railway	79
Family vacation	80
ehhh....	60
Very Good	83
Exceptional	100
Great value for money	96
Superb Country Inn & Suites	100
Good	71
Exceptional	100
Very convenient	100
Horrible stay	40
Do not stay here!	33
Guaranteed good night's sleep? Are you joking	20
This is the place to stay at if you heading to Plitvicka Jezera, or just passing by	100
Exceptional	100
Fair for the price	67
HIGHLY RECCOMEND made our holiday extra special.....will be back	100
Amazing break	100
Pleasant	65
Gorgeous beaches,great staff, not so great dining!	60
Birth day party	100
Wonderful hotel, highly recommend staying here on Alpe D'Huez	100
Mostly Happy	80
Relaxed and gracious.	92
You will not be disappointed great stay.	100
The hotel is average, it can improve facilities and customer service	67
Business in Bremen	88
An exceptional stay	96
Tiny but comfortable room, decent breakfast but great location	83
Great location & building, service not so much.	54
Staffs don't look friendly.	75
Amazing hassle free stay !	100
Great location away from tourist hotspots.	100
Lovely part of the world	75
Perfect hideaway in the city centre.	83
Exceptional	96
Decent hotel. But look for other option too.	63
first time	80
Very enjoyable	75
Nice business hotel	96
Very Good	83
Perfect location	100
Convenient	100
Fantastic Weekend	100
Forth of July in Charleston	100
Worst experience with the front desk, receptionist	20
Pleasant	67
Best family vacay yet!!!	100
Good rooms and nice staff	60
Wonderful	92
Exceptional	96
Great place for all family members	100
Be ready to pay for shuttle service	60
TOP RATE !!!	100
Disappointing	46
Good	79
Great relaxing hotel	83
Great Spot Central Stockholm	96
Exceptional	100
Lovely little hotel in the heart of Avalon.	88
Nice hotel	100
Great hotel to go!!	100
Clean and Còmført bed	76
Exceptional	100
Massaging bed was wonderful!	100
This hotel is a joke	20
Good food, pleasant staff, St Maws difficult to access.	75
Venice is expensive & not welcoming any more. Hotel average. Whole visit expensive & disappointing.	54
Family hotel	60
Breakfast spread	81
Nice hotel. Ideal spot	100
Great location hotel in tribeca.	79
My Bad experience in Moreno Valley, California	42
Exceptional	96
It's ok if you get a good price on it	79
A very conveniently located hotel	92
Good	71
Excellent for visiting Cinque Terre  by car.	100
First time in Austin	80
Very nice staff and located at city centre.	79
Warm welcome and modern facilities	100
Nice hotel close to Miami Airport	100
Exceptional	96
AM Staff @ F/D  are great !	58
Great place to stay in Tignes	96
Great location, very nice staff	83
Excellent, exactly what we needed.	100
Exceptional	96
Exceptional	100
Very good.	92
Good stay; just good.	63
Comfy and quaint	96
impressive hotel, needs t l c  and good restaraunt	70
Pleasant	63
Great stay	80
Excellent location.	60
best weekend mini break venue ever	100
Dump!!! not safe	75
Little gem of a hotel!!!	100
Meet my expectation	79
Worst hotel	29
Incredible resort right on beach with beautiful hrounds.	96
A relaxed stay with friendly staff	92
Girls weekend.	75
Wonderful night stay would return	96
Convenient, knowledgeable staff and great breakfast	100
Great location	79
Exceptional	100
Great hotel for us.	88
Nice Hotel, Recently Redone but some issues	60
A 14th century castle in beautiful Spain!	100
City center hotel	83
Good location, Good value.	83
Poor	35
Excellent, luxurious stay to celebrate graduation with my friends.	100
Awful staff and awful motel-like hotel in awful location	33
Good	71
Arriba Aruba	80
Okay	50
Oh what a disaster	20
Wonderful	92
Excellent full service hotel	100
Okay	58
Great place close to everything.	100
Pleasant	63
Amazing Service and Great Property	100
lovely	80
Traveling through town	100
Loved it.	100
Perfect location	100
Arrived at late night	100
Close to airport with parking facility	100
Decent stay for tennnis	67
Very comfortable, friendly, lively hotel.	96
Very friendly staff	80
Exemplary property and staff	100
The resort is disgusting	20
Only good for 1 night, 2 at the most	60
outstanding	100
NOW THIS IS MY HOME IN NYC	100
Great location!	80
Wedding 17th June 2017	100
Good	75
relaxing holiday	80
Such a nice place for a family trip.	100
Good	79
Favorite Hotel in Boise	100
Ideal stopover place if you aren't over interested in visiting the city	92
Highly recommend ,enjoyable stay	100
Pleased with our stay	100
best placeto stay neer jewish qwarter	100
Friendly hotel would deffo recommend:)	80
Great choice for our stay!	100
Great Hotel & staff!	100
Exceptional	96
In the Heart of Nana Region	96
The best place to stay	100
Our place of a getaway for 32 years	100
Nice beach at a small resort	80
great if you need to be in the city centre	79
Best Hotel in Philadelphia. One of the best Kimptons in the U.S.	100
Fantastic hotel	100
Good weekend beach getaway	88
It was the right size hotel, in a perfect location, we enjoyed our stay in NY and would recommend it	92
Do not miss staying here A lifetime experience	100
Disappointing	60
Great place. Would stay again	100
value for money	75
Good hotel on the beach	100
Exceptional	96
Disappointing	42
Exceptional	96
Good	79
Exceptional	100
Excellent Choice in Vancouver	100
Poor stay for 3 days	39
Birthday celebrations at Waldorf	88
Not worth the money at all.	46
Love This Place	100
Friendly, positive and helpful with a great location.	71
Exceptional	100
terrible customer service	33
A bit hard to find, but in the middle of Omaha	80
Not more three STAR property	54
Exceptional	100
Nice, comfirtale place right on the main square	92
Good	71
Nice time in the city	88
Very average hotel close to the Marina	40
Don Yo Bargains..check the real price!!	58
Budgeted price with good service	80
Fantastic place to start the 'Ring of Kerry'	100
Wonderful Honeymoon	80
Exceptional	100
One Of The Best Of Best Resorts	100
Outstanding hotel!!	100
I will definitely stay there again	100
Clean hotel	100
Good	71
Good location, that's about it.	46
Good luck GOOD	29
Great vacation at Island Vista.	100
Nice and quite. Very friendly.	100
Every airport should have one like this	80
Excellent	88
Family vacation of 7, for our 30th anniversary	80
Excellent location and service	100
Compairible rates in quiet hotel	100
Exceptional	100
Fantastic buffé .	100
Good and affordable.	79
The hotel is not that bad, but is noisy during the night. The AC in the room is really old, smelly and noisy.	54
Do not stay at this hotel. Unsafe is an understatement.	20
Exceptional	100
Ms. Vy and her great Navigator Team	100
Great value for money	71
Friendly and Helpful Staff	80
Nice budget hotel with central location	83
Good price for the area	60
